iter	Passed	Remaining
784	6737	1845
785	6745	1836
786	6753	1827
787	6761	1819
788	6769	1810
789	6784	1803
790	6791	1794
791	6799	1785
792	6807	1776
793	6815	1768
794	6822	1759
795	6830	1750
796	6839	1741
797	6846	1733
798	6855	1724
799	6862	1715
800	6870	1706
801	6878	1698
802	6886	1689
803	6895	1681
804	6905	1672
805	6914	1664
806	6923	1655
807	6934	1647
808	6943	1639
809	6954	1631
810	6964	1623
811	6974	1614
812	6981	1605
813	6988	1596
814	6996	1588
815	7003	1579
816	7012	1570
817	7019	1561
818	7028	1553
819	7036	1544
820	7045	1536
821	7053	1527
822	7061	1518
823	7069	1509
824	7077	1501
825	7090	1493
826	7100	1485
827	7108	1476
828	7117	1468
829	7126	1459
830	7134	1450
831	7143	1442
832	7150	1433
833	7159	1424
834	7167	1416
835	7175	1407
836	7182	1398
837	7190	1389
838	7198	1381
839	7207	1372
840	7215	1364
841	7223	1355
842	7243	1348
843	7250	1340
844	7259	1331
845	7267	1322
846	7276	1314
847	7284	1305
848	7294	1297
849	7302	1288
850	7312	1280
851	7320	1271
852	7328	1263
853	7337	1254
854	7345	1245
855	7353	1237
856	7362	1228
857	7370	1219
858	7378	1211
859	7386	1202
860	7394	1193
861	7402	1185
862	7409	1176
863	7417	1167
864	7426	1159
865	7434	1150
866	7442	1141
867	7450	1133
868	7458	1124
869	7466	1115
870	7476	1107
871	7484	1098
872	7491	1089
873	7500	1081
874	7507	1072
875	7516	1063
876	7524	1055
877	7533	1046
878	7541	1038
879	7549	1029
880	7558	1020
881	7567	1012
882	7575	1003
883	7583	995
884	7592	986
885	7601	978
886	7609	969
887	7618	960
888	7626	952
889	7635	943
890	7642	934
891	7651	926
892	7659	917
893	7668	909
894	7675	900
895	7685	892
896	7695	883
897	7704	875
898	7714	866
899	7723	858
900	7734	849
901	7743	841
902	7753	832
903	7762	824
904	7771	815
905	7781	807
906	7789	798
907	7799	790
908	7809	781
909	7818	773
910	7828	764
911	7836	756
912	7846	747
913	7854	739
914	7866	730
915	7875	722
916	7883	713
917	7892	705
918	7901	696
919	7909	687
920	7918	679
921	7926	670
922	7935	662
923	7944	653
924	7951	644
925	7960	636
926	7968	627
927	7976	618
928	7983	610
929	7992	601
930	8000	592
931	8008	584
932	8016	575
933	8025	567
934	8032	558
935	8041	549
936	8049	541
937	8059	532
938	8068	524
939	8077	515
940	8088	507
941	8097	498
942	8107	490
943	8116	481
944	8125	472
945	8133	464
946	8141	455
947	8148	446
948	8156	438
949	8162	429
950	8171	421
951	8179	412
952	8187	403
953	8194	395
954	8202	386
955	8209	377
956	8218	369
957	8226	360
958	8234	352
959	8242	343
960	8251	334
961	8261	326
962	8269	317
963	8278	309
964	8287	300
965	8294	291
966	8303	283
967	8313	274
968	8322	266
969	8333	257
970	8342	249
971	8352	240
972	8361	232
973	8372	223
974	8381	214
975	8391	206
976	8400	197
977	8407	189
978	8416	180
979	8424	171
980	8432	163
981	8439	154
982	8449	146
983	8456	137
984	8466	128
985	8473	120
986	8481	111
987	8488	103
988	8497	94
989	8504	85
990	8512	77
991	8519	68
992	8527	60
993	8534	51
994	8542	42
995	8549	34
996	8556	25
997	8567	17
998	8575	8
999	8584	0
